ElecID,X,Y
12055,25.0,85.0
12056,15.0,115.0
12057,5.0,115.0
12058,35.0,115.0
12059,25.0,115.0
12060,5.0,105.0
12061,15.0,105.0
12062,25.0,105.0
12063,35.0,105.0
13000,125.0,-85.0
13001,115.0,-85.0
13002,115.0,-95.0
13003,105.0,-105.0
13004,105.0,-95.0
13005,105.0,-85.0
13006,95.0,-115.0
13007,95.0,-105.0
13008,95.0,-95.0
13009,95.0,-85.0
13010,85.0,-125.0
13011,85.0,-115.0
13012,85.0,-105.0
13013,85.0,-95.0
13014,85.0,-85.0
13016,-85.0,-125.0
13017,-85.0,-115.0
13018,-95.0,-115.0
13019,-105.0,-105.0
13020,-95.0,-105.0
13021,-85.0,-105.0
13022,-115.0,-95.0
13023,-105.0,-95.0
13024,-95.0,-95.0
13025,-85.0,-95.0
13026,-125.0,-85.0
13027,-115.0,-85.0
13028,-105.0,-85.0
13029,-95.0,-85.0
13030,-85.0,-85.0
13032,-95.0,115.0
13033,-105.0,85.0
13034,-105.0,95.0
13035,-105.0,105.0
13036,-115.0,95.0
13037,-115.0,85.0
13038,-125.0,85.0
13040,-85.0,85.0
13041,-85.0,95.0
13042,-85.0,105.0
13043,-85.0,115.0
13044,-85.0,125.0
13045,-95.0,85.0
13046,-95.0,95.0
13047,-95.0,105.0
13048,115.0,95.0
13049,85.0,105.0
13050,95.0,105.0
13051,105.0,105.0
13052,95.0,115.0
13053,85.0,115.0
13054,85.0,125.0
13056,85.0,85.0
13057,95.0,85.0
13058,105.0,85.0
13059,115.0,85.0
13060,125.0,85.0
13061,85.0,95.0
13062,95.0,95.0
13063,105.0,95.0
